"","participantID","consent","attention.check","intendedVote","ratingPositive","ratingFavor","partyIdentification","partyIdentification_text","cc_concerns_1","cc_concerns_2","cc_concerns_3","cc_concerns_4","engagement_1","engagement_2","engagement_3","engagement_4","engagement_5","media","media1_text","media2_text","technical_problem","technical_problem_2_TEXT","representative","CAM_ID_t2","mean_valence_macro_t2","mean_valence_normed_macro_t2","density_macro_t2","transitivity_macro_t2","centr_degree_macro_t2","centr_clo_macro_t2","centr_betw_macro_t2","centr_eigen_macro_t2","meanDistance_directed_macro_t2","meanDistance_undirected_macro_t2","diameter_weighted_undirected_macro_t2","diameter_unweighted_undirected_macro_t2","diameter_unweighted_directed_macro_t2","num_nodes_macro_t2","num_nodes_pos_macro_t2","num_nodes_neg_macro_t2","num_nodes_neut_macro_t2","num_nodes_ambi_macro_t2","num_edges_macro_t2","num_edges_solid_macro_t2","num_edges_dashed_macro_t2","num_edges_invaliddashed_macro_t2","meanWeightEdges_macro_t2","reciprocity_macro_t2","assortativity_valence_macro_t2","assortativityDegree_macro_t2","degreetot_micro_Klimagesetz_t2","valence_micro_Klimagesetz_t2","centr_clo_micro_Klimagesetz_t2","ratingLaw","time","climate_concern","media_engagement","participantID.y","age","gender","education","politicalOrientation"
"1","011e2f92244c9b2b0b1b34a6024a256e",1,"Tennisspielen",1,7,7,"GLP",NA,"stimme eher zu","stimme zu","stimme voll und ganz zu","stimme voll und ganz zu","for approx. 1-2 hours","for approx. 2-3 hours","not at all","for approx. 2-3 hours","not at all","SRF",NA,NA,"Nein",NA,"eher repräsentativ","011e2f92244c9b2b0b1b34a6024a256e",0.333333333333333,-0.111111111111111,0.222222222222222,0,0.453125,0.617059570863919,0.767857142857143,0.694048177262765,2.22222222222222,2.22222222222222,4,4,4,9,3,4,1,1,16,16,0,3,1,1,-0.333333333333333,-0.555555555555556,10,0,1,7,10.35,5.25,2,"66ae72802450c35cb4d8d9225940e2a9",41,"männlich","Hochschulreife / Matur",4
"2","0239d1e0e412d45a5611604e3b78ab7e",1,"Tennisspielen",0,2,1,"SVP",NA,"stimme eher zu","stimme eher zu","stimme eher zu","stimme eher zu","not at all","for approx. 1-2 hours","not at all","for approx. 1-2 hours","not at all","NZZ ( Neue Zürcher Zeitung) / NZZ am Sonntag,SRF,Blick,baz (Basler Zeitung),Andere",NA,"ZDF","Nein",NA,"eher repräsentativ","0239d1e0e412d45a5611604e3b78ab7e",-1.33333333333333,-0.555555555555556,0.222222222222222,0,0.875,1,1,0.738796125036258,1.77777777777778,1.77777777777778,2,2,2,9,1,6,1,1,16,16,0,0,1,1,-0.666666666666667,-1,16,0,1,1.5,16.7,4,1.4,"c3b5d9572ddf2151e0eadcd046a324f4",65,"männlich","Hochschulreife / Matur",7
"3","03289ebe21c41bd2204d4a218b4b3c13",1,"Tennisspielen",1,7,8,"Keine",NA,"stimme voll und ganz zu","stimme voll und ganz zu","stimme voll und ganz zu","stimme voll und ganz zu","not at all","for approx. 2-3 hours","not at all","for approx. 1-2 hours","not at all","SRF",NA,NA,"Nein",NA,"sehr repräsentativ","03289ebe21c41bd2204d4a218b4b3c13",0,-0.111111111111111,0.277777777777778,0.181818181818182,0.8125,0.957613814756672,0.908482142857143,0.684942162954486,1.72222222222222,1.72222222222222,2,2,2,9,3,4,2,0,20,20,0,0,1,1,-0.012658227848101,-0.808622502628812,16,0,1,7.5,13.03,6,1.6,"fe8762369c30c041d90b21d060c219b0",57,"männlich","Hochschulreife / Matur",3
"4","03fe6a5e585f81700c5798c2b9a94030",1,"Tennisspielen",1,8,8,"SP",NA,"stimme voll und ganz zu","stimme voll und ganz zu","stimme voll und ganz zu","stimme voll und ganz zu","for approx. 1-2 hours","for approx. 1-2 hours","for approx. 1-2 hours","for approx. 1-2 hours","for approx. 2-3 hours","SRF,20 Minuten,Blick,St.Galler Tagblatt",NA,NA,"Nein",NA,"eher repräsentativ","03fe6a5e585f81700c5798c2b9a94030",0.8,0.2,0.244444444444444,0,0.222222222222222,0.489217032967033,0.618312757201646,0.561909282707,2.4,2.4,4,4,4,10,4,2,3,1,22,22,0,0,1,1,-0.13279132791328,-0.0476190476190472,8,0,1,8,6.88,6,2.2,"93ba18927fe9cfff8ca8d08954bbabe2",23,"männlich","Hochschulreife / Matur",3
"5","04189e514a23bb2761c754f0794b3f4f",1,"Tennisspielen",1,6,6,"SVP",NA,"stimme voll und ganz zu","stimme zu","stimme voll und ganz zu","stimme zu","for approx. 3-4 hours","for approx. 3-4 hours","for approx. 2-3 hours","for approx. 4-5 hours","not at all","SRF,Weltwoche,Tages-Anzeiger",NA,NA,"Nein",NA,"ein bisschen repräsentativ","04189e514a23bb2761c754f0794b3f4f",0,0.125,0.428571428571429,0.441176470588235,0.653061224489796,0.853535353535354,0.680272108843537,0.584591288360648,1.57142857142857,1.57142857142857,2,2,2,8,4,3,1,0,24,24,0,0,1,1,-0.142857142857142,-0.470967741935484,14,0,1,6,22.07,5.5,3.4,"6f97028732aa2b76546bc5d92a1cdc40",47,"männlich","Obligatorische Schule",7
"6","050cf8cad934ddc493e701faed394e39",1,"Tennisspielen",1,7,8,"SP",NA,"stimme eher zu","stimme zu","stimme eher zu","stimme zu","for approx. 4-5 hours","for approx. 3-4 hours","for approx. 5-6 hours","for approx. 4-5 hours","for approx. 4-5 hours","SRF,20 Minuten,Tages-Anzeiger",NA,NA,"Nein",NA,"eher repräsentativ","050cf8cad934ddc493e701faed394e39",0.111111111111111,0,0.222222222222222,0,0.875,1,1,0.738796125036259,1.77777777777778,1.77777777777778,2,2,2,9,4,4,1,0,16,16,0,0,1,1,-0.818181818181818,-1,16,0,1,7.5,5.6,4.5,5,"0f8bcd52c85636720e6d13eddaba2967",37,"männlich","Bachelor/ Master/ Promotion (Dr. / PhD)",4
"7","060107e2d678f84dad403994f204970e",1,"Tennisspielen",1,7,6,"Die Mitte",NA,"stimme zu","stimme eher zu","stimme zu","stimme eher zu","for approx. 6-7 hours","for approx. 5-6 hours","for approx. 5-6 hours","for approx. 5-6 hours","for approx. 5-6 hours","SRF,20 Minuten,Luzerner Zeitung",NA,NA,"Nein",NA,"eher repräsentativ","060107e2d678f84dad403994f204970e",0.625,0.125,0.285714285714286,0,0.653061224489796,0.780257936507936,0.843537414965986,0.662110084645692,1.85714285714286,1.85714285714286,3,3,3,8,3,2,3,0,16,16,0,0,1,1,0.272727272727273,-0.76,12,0,1,6.5,3.8,4.5,6.2,"a7c745e3d922a6204b4e6a5d38a8126d",27,"männlich","Hochschulreife / Matur",3
"8","063bf981b8a39879935f4114d2602584",1,"Tennisspielen",1,7,7,"SVP",NA,"stimme zu","stimme zu","stimme zu","stimme zu","for approx. 1-2 hours","for approx. 1-2 hours","for approx. 1-2 hours","for approx. 1-2 hours","for approx. 5-6 hours","SRF,20 Minuten,St.Galler Tagblatt",NA,NA,"Nein",NA,"ein bisschen unrepräsentativ","063bf981b8a39879935f4114d2602584",-0.125,0,0.357142857142857,0,0.244897959183673,0.351839826839827,0.297052154195011,0.423648314313346,1.82142857142857,1.82142857142857,3,3,3,8,1,1,6,0,20,20,0,0,1,1,-0.28654970760234,-0.311475409836067,8,0,1,7,74.97,5,2.8,"0b43d0ec0aa20e55de4438d1406d1f52",25,"männlich","Obligatorische Schule",8
"9","064d61939bd10017290408e5b9cdf7c8",1,"Tennisspielen",0,3,2,"Die Mitte",NA,"stimme nicht zu","stimme nicht zu","stimme nicht zu","stimme eher nicht zu","for approx. 1-2 hours","for approx. 2-3 hours","for approx. 1-2 hours","for approx. 2-3 hours","for approx. 3-4 hours","20 Minuten,baz (Basler Zeitung),Andere Regionale Zeitungen","NFZ",NA,"Nein",NA,"ein bisschen unrepräsentativ","064d61939bd10017290408e5b9cdf7c8",-1.22222222222222,-0.666666666666667,0.222222222222222,0,0.171875,0.427323766687643,0.575892857142857,0.600074963159841,2.66666666666667,2.66666666666667,5,5,5,9,0,6,3,0,16,16,0,0,1,1,-0.777777777777778,-0.230769230769231,6,-2,1,2.5,7.75,2.25,2.8,"44b7a93dbc07c1f774348b9e84810049",27,"männlich","Obligatorische Schule",7
"10","0682838cb44e8d4f7d5ebe04f51b40af",1,"Tennisspielen",1,6,7,"GLP",NA,"stimme eher zu","stimme eher zu","stimme zu","stimme eher zu","for approx. 3-4 hours","for approx. 3-4 hours","for approx. 1-2 hours","for approx. 1-2 hours","not at all","SRF,Luzerner Zeitung",NA,NA,"Nein",NA,"eher repräsentativ","0682838cb44e8d4f7d5ebe04f51b40af",0,0.166666666666667,0.227272727272727,0.413793103448276,0.148760330578512,0.356791582425417,0.553719008264463,0.697299960539996,3.48484848484848,3.48484848484848,8,6,6,12,5,3,3,1,30,30,0,2,1.4,1,0.284578696343402,0.413407821229051,6,0,1,6.5,10.4,4.25,2.6,"a74492862ed4a7fbe1e70fb626a2cd1e",28,"weiblich","Bachelor/ Master/ Promotion (Dr. / PhD)",4
