"","participantID","gender","age","attention.check","education","intendedVote","ratingPositive","ratingFavor","politicalOrientation","partyIdentification","partyIdentification_text","cc_concerns_1","cc_concerns_2","cc_concerns_3","cc_concerns_4","engagement_1","engagement_2","engagement_3","engagement_4","engagement_5","media","media1_text","media2_text","technical_problem","technical_problem_2_TEXT","representative","CAM_ID","mean_valence_macro","mean_valence_normed_macro","density_macro","transitivity_macro","centr_degree_macro","centr_clo_macro","centr_betw_macro","centr_eigen_macro","meanDistance_directed_macro","meanDistance_undirected_macro","diameter_weighted_undirected_macro","diameter_unweighted_undirected_macro","diameter_unweighted_directed_macro","num_nodes_macro","num_nodes_pos_macro","num_nodes_neg_macro","num_nodes_neut_macro","num_nodes_ambi_macro","num_edges_macro","num_edges_solid_macro","num_edges_dashed_macro","num_edges_invaliddashed_macro","meanWeightEdges_macro","reciprocity_macro","assortativity_valence_macro","assortativityDegree_macro","degreetot_micro_Klimagesetz","valence_micro_Klimagesetz","centr_clo_micro_Klimagesetz","ratingLaw","time","climate_concern","media_engagement"
"1","0505bd973d45791f009dd116a23a72bb","männlich",56,"Tennisspielen","Obligatorische Schule",0,1,1,5,"SVP",NA,"stimme eher nicht zu","stimme eher nicht zu","stimme nicht zu","stimme überhaupt nicht zu","not at all","for approx. 1-2 hours","for approx. 1-2 hours","for approx. 1-2 hours","for approx. 1-2 hours","20 Minuten,Blick",NA,NA,"Nein",NA,"sehr repräsentativ","0505bd973d45791f009dd116a23a72bb",-2.66666666666667,-0.888888888888889,0.222222222222222,0,0.875,1,1,0.738796125036259,1.77777777777778,1.77777777777778,2,2,2,9,0,8,1,0,16,16,0,0,1,1,-1,-1,16,0,1,1,12.63,2.25,1.8
"2","07f2609410a93ffc339868844c0df203","männlich",26,"Tennisspielen","Bachelor/ Master/ Promotion (Dr. / PhD)",1,6,5,6,"Die Mitte",NA,"stimme voll und ganz zu","stimme voll und ganz zu","stimme voll und ganz zu","stimme voll und ganz zu","for approx. 1-2 hours","for approx. 1-2 hours","not at all","for approx. 3-4 hours","not at all","SRF,Tages-Anzeiger",NA,NA,"Nein",NA,"eher repräsentativ","07f2609410a93ffc339868844c0df203",-0.111111111111111,-0.111111111111111,0.222222222222222,0,0.734375,0.84608843537415,0.933035714285714,0.737354162976623,1.94444444444444,1.94444444444444,3,3,3,9,3,4,1,1,16,16,0,0,1,1,-0.589403973509934,-0.819548872180451,14,0,1,5.5,15.22,6,2
"3","0c55cf9a79f5f75b17fb45e95aa8ae64","männlich",65,"Tennisspielen","Obligatorische Schule",1,6,5,5,"Keine",NA,"stimme voll und ganz zu","stimme voll und ganz zu","stimme voll und ganz zu","stimme voll und ganz zu","for approx. 3-4 hours","for approx. 3-4 hours","not at all","for approx. 3-4 hours","not at all","SRF,20 Minuten,Luzerner Zeitung",NA,NA,"Nein",NA,"eher repräsentativ","0c55cf9a79f5f75b17fb45e95aa8ae64",-0.2,-0.1,0.222222222222222,0,0.246913580246914,0.202448632734477,0.351851851851852,0.542779533507443,2.46666666666667,2.46666666666667,5,5,5,10,0,1,9,0,20,20,0,0,1,1,-0.0526315789473674,-0.702127659574468,4,0,0.947368421052632,5.5,13.9,6,2.8
"4","1052ae52402bd63a1e0d4d8766c9f7e2","männlich",59,"Tennisspielen","Obligatorische Schule",1,8,7,5,"Keine",NA,"stimme voll und ganz zu","stimme voll und ganz zu","stimme voll und ganz zu","stimme voll und ganz zu","for approx. 1-2 hours","for approx. 3-4 hours","for approx. 1-2 hours","for approx. 1-2 hours","not at all","SRF",NA,NA,"Nein",NA,"eher repräsentativ","1052ae52402bd63a1e0d4d8766c9f7e2",2.66666666666667,1,0.361111111111111,0.357142857142857,0.71875,0.891287284144427,0.741071428571429,0.621302868570473,1.63888888888889,1.63888888888889,2,2,2,9,9,0,0,0,26,26,0,0,1,1,NA,-0.56761412575366,16,3,1,7.5,21.12,6,2.2
"5","1179820a609e5cb1c53311e9462f900b","männlich",40,"Tennisspielen","Obligatorische Schule",0,3,4,5,"Keine",NA,"stimme eher nicht zu","stimme überhaupt nicht zu","stimme überhaupt nicht zu","stimme überhaupt nicht zu","not at all","for approx. 1-2 hours","not at all","not at all","not at all",NA,NA,NA,"Nein",NA,"ein bisschen repräsentativ","1179820a609e5cb1c53311e9462f900b",0,0,0.222222222222222,0,0.03125,0.207658925639221,0.267857142857143,0.383749783617851,3.33333333333333,3.33333333333333,8,8,8,9,4,4,1,0,16,16,0,0,1,1,0.327731092436975,-0.142857142857143,4,0,1,3.5,17.67,1.5,1.2
"6","143a741a77c35a69bc7ccf18e13bac34","weiblich",52,"Tennisspielen","Bachelor/ Master/ Promotion (Dr. / PhD)",0,6,4,8,"SVP",NA,"stimme zu","stimme zu","stimme zu","stimme zu","not at all","not at all","not at all","not at all","not at all",NA,NA,NA,"Nein",NA,"ein bisschen repräsentativ","143a741a77c35a69bc7ccf18e13bac34",1.2,0.6,0.2,0,0.271604938271605,0.383178912998417,0.604938271604938,0.697741263646203,4.4,4.4,9,6,6,10,6,0,3,1,18,18,0,0,1.33333333333333,1,0.0999999999999995,-0.255813953488373,8,0,1,5,49.33,5,1
"7","161676f622ed41c31f196b332a10fdc9","weiblich",41,"Tennisspielen","Hochschulreife / Matur",1,8,7,5,"Grüne",NA,"stimme eher zu","stimme voll und ganz zu","stimme voll und ganz zu","stimme voll und ganz zu","for approx. 5-6 hours","for approx. 4-5 hours","not at all","not at all","for approx. 4-5 hours",NA,NA,NA,"Nein",NA,"sehr repräsentativ","161676f622ed41c31f196b332a10fdc9",0.444444444444444,0.333333333333333,0.444444444444444,0.461538461538462,0.625,0.824175824175825,0.553571428571429,0.571428571428571,1.55555555555556,1.55555555555556,2,2,2,9,4,1,2,2,32,32,0,1,1,1,-0.382059800664452,-0.333333333333333,16,0,1,7.5,15.53,5.5,3.6
"8","169a0325ed3ef2e6d78a2060959689bf","weiblich",26,"Tennisspielen","Obligatorische Schule",1,4,4,5,"Keine",NA,"stimme zu","stimme zu","stimme zu","stimme zu","not at all","not at all","not at all","not at all","for approx. 3-4 hours",NA,NA,NA,"Nein",NA,"ein bisschen repräsentativ","169a0325ed3ef2e6d78a2060959689bf",0.777777777777778,0.666666666666667,0.222222222222222,0,0.171875,0.389061421670117,0.549107142857143,0.613260931681152,2.83333333333333,2.83333333333333,6,6,6,9,6,0,3,0,16,16,0,0,1,1,0.238095238095238,0,6,0,1,4,18.72,5,1.6
"9","1d324c50fa06f8e371f72264170e68db","männlich",35,"Tennisspielen","Obligatorische Schule",1,5,6,6,"SP",NA,"stimme eher zu","stimme zu","stimme zu","stimme eher zu","for approx. 5-6 hours","for approx. 4-5 hours","for approx. 4-5 hours","for approx. 5-6 hours","for approx. 4-5 hours","SRF",NA,NA,"Nein",NA,"sehr unrepräsentativ","1d324c50fa06f8e371f72264170e68db",-0.5,0,0.25,0,0.204081632653061,0.31351738254417,0.469387755102041,0.491801247789979,2.53571428571429,2.53571428571429,5,5,5,8,3,3,1,1,14,14,0,4,1,1,-0.806451612903225,-0.647058823529411,4,0,0.764705882352941,5.5,20.53,4.5,5.4
"10","1d6e261c84a6814b06b848c0ee88449a","weiblich",56,"Tennisspielen","Hochschulreife / Matur",0,2,2,9,"SVP",NA,"stimme überhaupt nicht zu","stimme eher zu","stimme voll und ganz zu","stimme voll und ganz zu","for approx. 1-2 hours","not at all","not at all","for more than 7 hours","not at all","NZZ ( Neue Zürcher Zeitung) / NZZ am Sonntag,Weltwoche",NA,NA,"Nein",NA,"eher repräsentativ","1d6e261c84a6814b06b848c0ee88449a",-1.22222222222222,-0.444444444444444,0.222222222222222,0,0.875,1,1,0.738796125036258,1.77777777777778,1.77777777777778,2,2,2,9,2,6,1,0,16,16,0,0,1,1,-0.806451612903226,-1,16,0,1,2,8.88,4.25,2.6
