"","participantID","gender","age","education","politicalOrientation","partyIdentification","cc_concerns_1","cc_concerns_2","cc_concerns_3","cc_concerns_4","engagement_1","engagement_2","engagement_3","engagement_4","engagement_5","media","media1_text","media2_text","technical_problem","technical_problem_2_TEXT","representative","climate_concern","media_engagement","wave","intendedVote","ratingPositive","ratingFavor","ratingLaw","mean_valence_macro","mean_valence_normed_macro","density_macro","transitivity_macro","centr_degree_macro","centr_clo_macro","centr_betw_macro","centr_eigen_macro","meanDistance_directed_macro","meanDistance_undirected_macro","diameter_weighted_undirected_macro","diameter_unweighted_undirected_macro","diameter_unweighted_directed_macro","num_nodes_macro","num_nodes_pos_macro","num_nodes_neg_macro","num_nodes_neut_macro","num_nodes_ambi_macro","num_edges_macro","num_edges_solid_macro","num_edges_dashed_macro","num_edges_invaliddashed_macro","meanWeightEdges_macro","reciprocity_macro","assortativity_valence_macro","assortativityDegree_macro","degreetot_micro_Klimagesetz","valence_micro_Klimagesetz","centr_clo_micro_Klimagesetz"
"1","66ae72802450c35cb4d8d9225940e2a9","männlich",41,"Hochschulreife / Matur",4,"GLP","stimme eher zu","stimme zu","stimme voll und ganz zu","stimme voll und ganz zu","for approx. 1-2 hours","for approx. 2-3 hours","not at all","for approx. 2-3 hours","not at all","SRF",NA,NA,"Nein",NA,"eher repräsentativ",5.25,2,"t1",1,6,7,6.5,0.75,0.375,0.25,0,0.530612244897959,0.690448343079922,0.82312925170068,0.702682673146307,2.10714285714286,2.10714285714286,4,4,4,8,4,1,2,1,14,14,0,1,1,1,0.197452229299363,-0.586666666666667,10,2,1
"2","66ae72802450c35cb4d8d9225940e2a9","männlich",41,"Hochschulreife / Matur",4,"GLP","stimme eher zu","stimme zu","stimme voll und ganz zu","stimme voll und ganz zu","for approx. 1-2 hours","for approx. 2-3 hours","not at all","for approx. 2-3 hours","not at all","SRF",NA,NA,"Nein",NA,"eher repräsentativ",5.25,2,"t2",1,7,7,7,0.333333333333333,-0.111111111111111,0.222222222222222,0,0.453125,0.617059570863919,0.767857142857143,0.694048177262765,2.22222222222222,2.22222222222222,4,4,4,9,3,4,1,1,16,16,0,3,1,1,-0.333333333333333,-0.555555555555556,10,0,1
"3","c3b5d9572ddf2151e0eadcd046a324f4","männlich",65,"Hochschulreife / Matur",7,"SVP","stimme eher zu","stimme eher zu","stimme eher zu","stimme eher zu","not at all","for approx. 1-2 hours","not at all","for approx. 1-2 hours","not at all","NZZ ( Neue Zürcher Zeitung) / NZZ am Sonntag,SRF,Blick,baz (Basler Zeitung),Andere",NA,"ZDF","Nein",NA,"eher repräsentativ",4,1.4,"t1",0,2,2,2,-0.777777777777778,-0.222222222222222,0.277777777777778,0.24,0.53125,0.633235379171912,0.631696428571429,0.638352782688768,1.94444444444444,1.94444444444444,3,3,3,9,2,4,1,2,20,20,0,2,1,1,-0.137123745819397,-0.653333333333333,12,0,1
"4","c3b5d9572ddf2151e0eadcd046a324f4","männlich",65,"Hochschulreife / Matur",7,"SVP","stimme eher zu","stimme eher zu","stimme eher zu","stimme eher zu","not at all","for approx. 1-2 hours","not at all","for approx. 1-2 hours","not at all","NZZ ( Neue Zürcher Zeitung) / NZZ am Sonntag,SRF,Blick,baz (Basler Zeitung),Andere",NA,"ZDF","Nein",NA,"eher repräsentativ",4,1.4,"t2",0,2,1,1.5,-1.33333333333333,-0.555555555555556,0.222222222222222,0,0.875,1,1,0.738796125036258,1.77777777777778,1.77777777777778,2,2,2,9,1,6,1,1,16,16,0,0,1,1,-0.666666666666667,-1,16,0,1
"5","fe8762369c30c041d90b21d060c219b0","männlich",57,"Hochschulreife / Matur",3,"Keine","stimme voll und ganz zu","stimme voll und ganz zu","stimme voll und ganz zu","stimme voll und ganz zu","not at all","for approx. 2-3 hours","not at all","for approx. 1-2 hours","not at all","SRF",NA,NA,"Nein",NA,"sehr repräsentativ",6,1.6,"t1",1,7,8,7.5,-0.111111111111111,0,0.222222222222222,0,0.875,1,1,0.738796125036258,1.77777777777778,1.77777777777778,2,2,2,9,3,3,1,2,16,16,0,0,1,1,-0.509433962264151,-1,16,0,1
"6","fe8762369c30c041d90b21d060c219b0","männlich",57,"Hochschulreife / Matur",3,"Keine","stimme voll und ganz zu","stimme voll und ganz zu","stimme voll und ganz zu","stimme voll und ganz zu","not at all","for approx. 2-3 hours","not at all","for approx. 1-2 hours","not at all","SRF",NA,NA,"Nein",NA,"sehr repräsentativ",6,1.6,"t2",1,7,8,7.5,0,-0.111111111111111,0.277777777777778,0.181818181818182,0.8125,0.957613814756672,0.908482142857143,0.684942162954486,1.72222222222222,1.72222222222222,2,2,2,9,3,4,2,0,20,20,0,0,1,1,-0.012658227848101,-0.808622502628812,16,0,1
"7","93ba18927fe9cfff8ca8d08954bbabe2","männlich",23,"Hochschulreife / Matur",3,"SP","stimme voll und ganz zu","stimme voll und ganz zu","stimme voll und ganz zu","stimme voll und ganz zu","for approx. 1-2 hours","for approx. 1-2 hours","for approx. 1-2 hours","for approx. 1-2 hours","for approx. 2-3 hours","SRF,20 Minuten,Blick,St.Galler Tagblatt",NA,NA,"Nein",NA,"eher repräsentativ",6,2.2,"t1",1,7,8,7.5,0.909090909090909,0.272727272727273,0.181818181818182,0,0.24,0.511190476190476,0.686666666666667,0.664241078960766,2.58181818181818,2.58181818181818,4,4,4,11,5,2,3,1,20,20,0,0,1,1,-0.486486486486487,-0.333333333333334,8,0,1
"8","93ba18927fe9cfff8ca8d08954bbabe2","männlich",23,"Hochschulreife / Matur",3,"SP","stimme voll und ganz zu","stimme voll und ganz zu","stimme voll und ganz zu","stimme voll und ganz zu","for approx. 1-2 hours","for approx. 1-2 hours","for approx. 1-2 hours","for approx. 1-2 hours","for approx. 2-3 hours","SRF,20 Minuten,Blick,St.Galler Tagblatt",NA,NA,"Nein",NA,"eher repräsentativ",6,2.2,"t2",1,8,8,8,0.8,0.2,0.244444444444444,0,0.222222222222222,0.489217032967033,0.618312757201646,0.561909282707,2.4,2.4,4,4,4,10,4,2,3,1,22,22,0,0,1,1,-0.13279132791328,-0.0476190476190472,8,0,1
"9","6f97028732aa2b76546bc5d92a1cdc40","männlich",47,"Obligatorische Schule",7,"SVP","stimme voll und ganz zu","stimme zu","stimme voll und ganz zu","stimme zu","for approx. 3-4 hours","for approx. 3-4 hours","for approx. 2-3 hours","for approx. 4-5 hours","not at all","SRF,Weltwoche,Tages-Anzeiger",NA,NA,"Nein",NA,"ein bisschen repräsentativ",5.5,3.4,"t1",0,5,4,4.5,0.875,0.375,0.321428571428571,0,0.285714285714286,0.419200937950938,0.421768707482993,0.490473273871628,1.92857142857143,1.92857142857143,3,3,3,8,5,2,1,0,18,18,0,2,1,1,0.176470588235293,-0.384615384615383,8,2,1
"10","6f97028732aa2b76546bc5d92a1cdc40","männlich",47,"Obligatorische Schule",7,"SVP","stimme voll und ganz zu","stimme zu","stimme voll und ganz zu","stimme zu","for approx. 3-4 hours","for approx. 3-4 hours","for approx. 2-3 hours","for approx. 4-5 hours","not at all","SRF,Weltwoche,Tages-Anzeiger",NA,NA,"Nein",NA,"ein bisschen repräsentativ",5.5,3.4,"t2",1,6,6,6,0,0.125,0.428571428571429,0.441176470588235,0.653061224489796,0.853535353535354,0.680272108843537,0.584591288360648,1.57142857142857,1.57142857142857,2,2,2,8,4,3,1,0,24,24,0,0,1,1,-0.142857142857142,-0.470967741935484,14,0,1
